exp_id,subject_id,cre_line,depth,num_seqs,num_ROIs,num_timepoints,targeted_structure,mlp_orientation_accs,mlp_temp_freq_accs
653126877,355474,Slc17a7-IRES2-Cre,175,628,75,58278,VISpm,53.84166666666670,48.75000000000000
548379748,261969,Nr5a1-Cre,350,628,29,56747,VISal,30.225000000000000,37.275
686442556,377629,Sst-IRES-Cre,250,628,14,56620,VISl,63.55833333333330,46.32500000000000
651769499,350509,Vip-IRES-Cre,275,628,6,56755,VISl,18.908333333333300,34.3
601423209,315122,Sst-IRES-Cre,275,628,10,56763,VISp,44.80000000000000,46.391666666666700
589755795,306500,Sst-IRES-Cre,375,628,5,56613,VISrl,18.55000000000000,22.791666666666700
612534310,332396,Sst-IRES-Cre,275,628,15,56771,VISrl,51.54166666666670,30.40833333333330
528402271,237706,Emx1-IRES-Cre,275,628,209,56751,VISp,86.94166666666670,74.59166666666670
692345336,379345,Vip-IRES-Cre,275,628,14,58288,VISpm,18.058333333333300,29.75000000000000
558476282,271727,Nr5a1-Cre,350,628,50,56746,VISl,27.56666666666670,35.56666666666670
601841437,315562,Sst-IRES-Cre,375,628,5,56757,VISl,36.541666666666700,37.74166666666670
562536153,280639,Emx1-IRES-Cre,375,628,123,56745,VISal,65.98333333333330,52.39166666666670
601368107,315298,Rbp4-Cre_KL100,375,628,11,56612,VISpm,42.71666666666670,26.675000000000000
639932847,339839,Fezf2-CreER,400,628,103,56622,VISl,75.80833333333330,77.28333333333340
555040116,271750,Rbp4-Cre_KL100,375,628,91,56742,VISpm,37.0,32.89166666666670
589441079,306500,Sst-IRES-Cre,275,628,22,56611,VISal,69.76666666666670,46.60000000000000
665726618,370773,Ntsr1-Cre_GN220,570,628,4,58254,VISl,24.708333333333300,25.22500000000000
669237515,370767,Ntsr1-Cre_GN220,625,628,61,56750,VISl,82.26666666666670,52.70833333333330
596509886,306506,Sst-IRES-Cre,275,628,17,56630,VISl,48.4,49.42500000000000
554037270,270341,Nr5a1-Cre,350,628,46,56739,VISpm,30.925000000000000,36.48333333333340
507129766,229482,Rorb-IRES2-Cre,275,628,52,56755,VISl,40.84166666666670,30.01666666666670
550455111,260936,Emx1-IRES-Cre,175,628,148,56614,VISl,65.64166666666660,49.82500000000000
686449092,379345,Vip-IRES-Cre,175,628,16,58303,VISl,18.158333333333300,27.150000000000000
593552712,308148,Cux2-CreERT2,275,628,125,56758,VISrl,27.183333333333400,27.53333333333330
649401936,352161,Rbp4-Cre_KL100,375,628,55,56609,VISp,66.35000000000000,61.30000000000000
585035184,301048,Emx1-IRES-Cre,275,628,102,58278,VISl,61.95833333333330,50.21666666666670
506540916,228786,Rorb-IRES2-Cre,275,628,60,56746,VISpm,23.63333333333330,33.1
637126541,339814,Ntsr1-Cre_GN220,550,628,23,56616,VISpm,57.93333333333330,31.45833333333330
546716391,260936,Emx1-IRES-Cre,375,628,160,56603,VISp,44.625,46.10833333333330
510214538,228786,Rorb-IRES2-Cre,275,628,284,56615,VISp,81.70000000000000,68.34166666666670
662033243,361635,Slc17a7-IRES2-Cre,375,628,151,58247,VISp,43.04166666666660,50.80833333333330
502608215,225037,Cux2-CreERT2,275,628,318,56748,VISp,96.72500000000010,76.20833333333330
560578599,277933,Nr5a1-Cre,350,628,63,56748,VISl,24.99166666666670,34.49166666666670
686441799,377151,Rorb-IRES2-Cre,275,628,100,56760,VISpm,35.76666666666670,36.97500000000000
614571626,336243,Vip-IRES-Cre,175,628,20,56760,VISl,18.041666666666700,30.433333333333300
704298735,382421,Cux2-CreERT2,175,628,95,56629,VISp,71.46666666666670,50.60833333333340
605859367,324178,Slc17a7-IRES2-Cre,175,628,41,58285,VISal,54.058333333333300,37.45833333333330
605688822,321822,Sst-IRES-Cre,375,628,4,56765,VISpm,34.65833333333340,30.13333333333330
663479824,360906,Vip-IRES-Cre,275,628,10,56616,VISp,16.716666666666700,31.725000000000000
647603932,351663,Rbp4-Cre_KL100,375,628,29,58246,VISam,35.71666666666670,38.50833333333330
527048992,244884,Rorb-IRES2-Cre,275,628,211,56627,VISp,91.95000000000000,69.35000000000000
597028938,315123,Sst-IRES-Cre,375,628,12,56615,VISl,41.51666666666670,45.150000000000000
605883133,323982,Ntsr1-Cre_GN220,550,628,37,56751,VISl,79.65833333333330,46.39166666666670
569718097,284418,Rorb-IRES2-Cre,275,628,32,56760,VISam,32.608333333333300,32.666666666666700
626027944,336246,Vip-IRES-Cre,275,628,5,56764,VISpm,23.25833333333330,35.25000000000000
581153070,300424,Sst-IRES-Cre,250,628,26,56749,VISl,72.02500000000000,50.48333333333330
510917254,234584,Rbp4-Cre_KL100,375,628,61,56611,VISpm,33.35000000000000,36.15
657915168,360902,Vip-IRES-Cre,175,628,22,58280,VISl,17.80000000000000,30.283333333333300
644947716,347748,Slc17a7-IRES2-Cre,175,628,44,56629,VISpm,34.24166666666670,50.05000000000000
556665481,271727,Nr5a1-Cre,350,628,3,56612,VISam,18.458333333333300,21.750000000000000
560926639,276947,Emx1-IRES-Cre,175,628,105,58263,VISl,76.57500000000010,54.17500000000000
509580400,232623,Rorb-IRES2-Cre,275,628,17,56757,VISpm,25.150000000000000,30.7
571177441,283278,Cux2-CreERT2,175,628,88,56766,VISam,64.59166666666670,53.28333333333330
712919665,382423,Cux2-CreERT2,275,628,22,56765,VISam,28.266666666666700,42.23333333333330
653932505,355474,Slc17a7-IRES2-Cre,375,628,261,58279,VISp,63.14166666666670,62.31666666666670
653551965,355536,Slc17a7-IRES2-Cre,175,628,49,56755,VISl,47.216666666666700,39.8
574823092,296702,Emx1-IRES-Cre,175,628,127,56769,VISrl,54.341666666666700,26.02500000000000
662219852,361635,Slc17a7-IRES2-Cre,375,628,83,58255,VISl,48.87500000000000,51.21666666666670
592407200,301125,Rbp4-Cre_KL100,375,628,21,56611,VISp,35.175,33.216666666666700
643592303,344179,Fezf2-CreER,375,628,54,58294,VISp,71.15000000000010,61.74166666666670
592657427,308148,Cux2-CreERT2,175,628,69,56756,VISrl,39.82500000000000,33.975000000000000
503109347,225036,Cux2-CreERT2,275,628,353,56625,VISp,88.50833333333330,50.525
560027980,279437,Nr5a1-Cre,350,628,12,56756,VISam,17.316666666666700,21.608333333333300
609894681,327595,Sst-IRES-Cre,375,628,7,56619,VISp,41.82500000000000,46.08333333333330
647595671,348105,Ntsr1-Cre_GN220,550,628,97,56608,VISpm,39.07500000000000,36.45000000000000
511595995,234584,Rbp4-Cre_KL100,375,628,88,56613,VISl,46.825000000000000,51.70833333333340
654532828,352471,Rorb-IRES2-Cre,275,628,95,56752,VISl,56.583333333333300,64.7333333333333
657914280,360565,Cux2-CreERT2,175,628,84,58282,VISpm,51.908333333333300,50.875
670728674,369495,Pvalb-IRES-Cre,225,628,18,58287,VISp,14.500000000000000,28.233333333333300
664914611,365253,Slc17a7-IRES2-Cre,375,628,35,58282,VISl,33.95833333333330,41.975
644051974,344122,Rbp4-Cre_KL100,375,628,18,58264,VISl,34.07500000000000,54.16666666666670
652737867,355468,Slc17a7-IRES2-Cre,175,628,127,58284,VISl,53.37500000000000,42.69166666666670
557615965,266396,Nr5a1-Cre,300,628,8,56607,VISpm,15.616666666666700,29.258333333333400
703308071,385254,Slc17a7-IRES2-Cre,375,628,93,56780,VISpm,36.75833333333330,45.60833333333330
652094917,354074,Cux2-CreERT2,275,628,62,58247,VISam,36.775,37.89166666666670
642278925,340849,Sst-IRES-Cre,275,628,14,58267,VISpm,31.108333333333300,36.56666666666670
566458505,284669,Emx1-IRES-Cre,175,628,105,56615,VISam,58.92500000000000,37.1
596584192,309152,Emx1-IRES-Cre,275,628,315,56766,VISp,92.92500000000000,74.59166666666670
580095647,296708,Emx1-IRES-Cre,175,628,209,56626,VISrl,48.425000000000000,31.74166666666670
531134090,246775,Scnn1a-Tg3-Cre,335,628,53,56742,VISp,35.74166666666670,42.325
639251932,340854,Sst-IRES-Cre,375,628,11,56765,VISpm,26.433333333333300,38.20000000000000
612536911,325932,Slc17a7-IRES2-Cre,175,628,45,56628,VISrl,16.22500000000000,28.383333333333300
564607188,276949,Emx1-IRES-Cre,175,628,133,56615,VISpm,47.98333333333330,33.68333333333330
550851591,265164,Rorb-IRES2-Cre,275,628,87,56757,VISam,40.94166666666670,33.64166666666670
669861524,373760,Pvalb-IRES-Cre,275,628,10,58287,VISp,26.383333333333300,47.38333333333330
675477919,373762,Pvalb-IRES-Cre,200,628,10,56624,VISp,21.04166666666670,32.775000000000000
506773892,229105,Cux2-CreERT2,175,628,76,56614,VISal,60.35833333333330,50.80000000000000
679700458,372079,Slc17a7-IRES2-Cre,275,628,92,56622,VISpm,29.458333333333300,35.325000000000000
550490398,261969,Nr5a1-Cre,350,628,37,56756,VISpm,32.575,47.57500000000000
613599811,334309,Slc17a7-IRES2-Cre,175,628,56,58275,VISam,48.51666666666670,42.20833333333330
590168385,305467,Rorb-IRES2-Cre,275,628,157,56755,VISp,91.18333333333340,73.68333333333340
571137446,288600,Rbp4-Cre_KL100,375,628,48,56785,VISp,58.88333333333340,57.53333333333330
637671554,340430,Tlx3-Cre_PL56,375,628,171,56759,VISp,85.23333333333340,56.55833333333330
557304694,268773,Cux2-CreERT2,175,628,79,56614,VISam,39.25833333333340,40.525
595263154,309152,Emx1-IRES-Cre,375,628,221,56752,VISp,38.64166666666670,47.058333333333400
652092676,350249,Vip-IRES-Cre,275,628,24,56746,VISl,31.191666666666700,38.075
